
                                    #######################################################                                            
                                    #                        PDG data                     #                                            
                                    #      Default File name: data/pdg_hadrons.dat        #                                            
                                    #######################################################                                            


---------------------------------------------------------------------------------------------------------------------------------------
ID     PDGID          Name                isStable  mass(in GeV)  Spin Degeneracy     Baryon number(B)  Charge(Q)  Strangeness(S)      
215    12114          Delta(1700)0        0         1.7           4                   1                 0          0             
216    11114          Delta(1700)-        0         1.7           4                   1                 -1         0             
217    21214          N(1700)0            0         1.7           4                   1                 0          0             
218    -30213         rho(1700)+b         0         1.7           3                   0                 -1         0             
219    -22124         N(1700)+b           0         1.7           4                   -1                -1         0             
220    -21214         N(1700)0b           0         1.7           4                   -1                0          0             
221    -12224         Delta(1700)++b      0         1.7           4                   -1                -2         0             
222    -12214         Delta(1700)+b       0         1.7           4                   -1                -1         0             
223    -12114         Delta(1700)0b       0         1.7           4                   -1                0          0             
224    -11114         Delta(1700)-b       0         1.7           4                   -1                1          0             
225    42212          N(1710)+            0         1.71          2                   1                 1          0             
226    42112          N(1710)0            0         1.71          2                   1                 0          0             
227    -42212         N(1710)+b           0         1.71          2                   -1                -1         0             
228    -42112         N(1710)0b           0         1.71          2                   -1                0          0             
229    10331          f0(1710)            0         1.713         1                   0                 0          0             
230    30313          K*(1680)0           0         1.717         3                   0                 0          1             
231    30323          K*(1680)+           0         1.717         3                   0                 1          1             
232    -30323         K*(1680)+b          0         1.717         3                   0                 -1         -1            
233    -30313         K*(1680)0b          0         1.717         3                   0                 0          -1            
234    31214          N(1720)0            0         1.72          4                   1                 0          0             
235    32124          N(1720)+            0         1.72          4                   1                 1          0             
236    -32124         N(1720)+b           0         1.72          4                   -1                -1         0             
237    -31214         N(1720)0b           0         1.72          4                   -1                0          0             
238    9000115        a2(1700)0           0         1.732         5                   0                 0          0             
239    9000215        a2(1700)+           0         1.732         5                   0                 1          0             
240    -9000215       a2(1700)+b          0         1.732         5                   0                 -1         0             
241    23112          Sigma(1750)-        0         1.75          2                   1                 -1         -1            
242    23222          Sigma(1750)+        0         1.75          2                   1                 1          -1            
243    23212          Sigma(1750)0        0         1.75          2                   1                 0          -1            
244    -23222         Sigma(1750)+b       0         1.75          2                   -1                -1         1             
245    -23212         Sigma(1750)0b       0         1.75          2                   -1                0          1             
246    -23112         Sigma(1750)-b       0         1.75          2                   -1                1          1             
247    9040221        eta(1760)           0         1.756         1                   0                 0          0             
248    10315          K2(1770)0           0         1.773         5                   0                 0          1             
249    10325          K2(1770)+           0         1.773         5                   0                 1          1             
250    -10325         K2(1770)+b          0         1.773         5                   0                 -1         -1            
251    -10315         K2(1770)0b          0         1.773         5                   0                 0          -1            
252    3226           Sigma(1775)+        0         1.775         6                   1                 1          -1            
253    3216           Sigma(1775)0        0         1.775         6                   1                 0          -1            
254    3116           Sigma(1775)-        0         1.775         6                   1                 -1         -1            
255    -3226          Sigma(1775)+b       0         1.775         6                   -1                -1         1             
256    -3216          Sigma(1775)0b       0         1.775         6                   -1                0          1             
257    -3116          Sigma(1775)-b       0         1.775         6                   -1                1          1             
258    317            K3*(1780)0          0         1.776         7                   0                 0          1             
259    327            K3*(1780)+          0         1.776         7                   0                 1          1             
260    -327           K3*(1780)+b         0         1.776         7                   0                 -1         -1            
261    -317           K3*(1780)0b         0         1.776         7                   0                 0          -1            
262    43122          Lambda(1800)        0         1.8           2                   1                 0          -1            
263    -43122         Lambda(1800)b       0         1.8           2                   -1                0          1             
264    200211         pi(1800)+           0         1.801         1                   0                 1          0             
265    200111         pi(1800)0           0         1.801         1                   0                 0          0             
266    -200211        pi(1800)+b          0         1.801         1                   0                 -1         0             
267    53122          Lambda(1810)        0         1.81          2                   1                 0          -1            
268    -53122         Lambda(1810)b       0         1.81          2                   -1                0          1             
269    9030225        f2(1810)            0         1.815         5                   0                 0          0             
270    20325          K2(1820)+           0         1.816         5                   0                 1          1             
271    20315          K2(1820)0           0         1.816         5                   0                 0          1             
272    -20325         K2(1820)+b          0         1.816         5                   0                 -1         -1            
273    -20315         K2(1820)0b          0         1.816         5                   0                 0          -1            
274    3126           Lambda(1820)        0         1.82          6                   1                 0          -1            
275    -3126          Lambda(1820)b       0         1.82          6                   -1                0          1             
