233
0.125	2	2224	-211		
0.0833	2	2214	111		
0.0417	2	2114	211		
0.0267	2	2112	213		
0.0133	2	2212	113		
0.0267	3	2212	111	111	
0.0266	3	2212	211	-211	
0.0267	3	2112	211	111	
12112					
10					
0.21	2	2112	111		
0.42	2	2212	-211		
0.0417	2	2214	-211		
0.0833	2	2114	111		
0.125	2	1114	211		
0.0133	2	2112	113		
0.0267	2	2212	-213		
0.0267	3	2212	111	-211	
0.0267	3	2112	111	111	
0.0266	3	2112	211	-211	
2124					
10					
0.37	2	2112	211		
0.185	2	2212	111		
0.1	2	2224	-211		
0.07	2	2214	111		
0.035	2	2114	211		
0.1333	2	2112	213		
0.0667	2	2212	113		
0.0134	3	2212	111	111	
0.0133	3	2212	211	-211	
0.0133	3	2112	211	111	
1214					
10					
0.185	2	2112	111		
0.37	2	2212	-211		
0.035	2	2214	-211		
0.07	2	2114	111		
0.1	2	1114	211		
0.0667	2	2112	113		
0.1333	2	2212	-213		
0.0133	3	2212	111	-211	
0.0134	3	2112	111	111	
0.0133	3	2112	211	-211	
22212					
13					
0.3	2	2112	211		
0.15	2	2212	111		
0.475	2	2212	221		
0.0025	2	2224	-211		
0.0017	2	2214	111		
0.0008	2	2114	211		
0.0133	2	2112	213		
0.0067	2	2212	113		
0.005	3	2212	211	-211	
0.005	3	2212	111	111	
0.005	3	2112	211	111	
0.0233	2	12112	211		
0.0117	2	12212	111		
22112					
13					
0.15	2	2112	111		
0.3	2	2212	-211		
0.475	2	2112	221		
0.0008	2	2214	-211		
0.0017	2	2114	111		
0.0025	2	1114	211		
0.0067	2	2112	113		
0.0133	2	2212	-213		
0.005	3	2212	-211	111	
0.005	3	2112	111	111	
0.005	3	2112	211	-211	
0.0117	2	12112	111		
0.0233	2	12212	-211		
32224					
4					
0.15	2	2212	211		
0.45	2	2224	111		
0.3	2	2214	211		
0.1	2	12212	211		
32214					
7					
0.05	2	2112	211		
0.1	2	2212	111		
0.3	2	2224	-211		
0.05	2	2214	111		
0.4	2	2114	211		
0.0333	2	12112	211		
0.0667	2	12212	111		
32114					
7					
0.1	2	2112	111		
0.05	2	2212	-211		
0.4	2	2214	-211		
0.05	2	2114	111		
0.3	2	1114	211		
0.0667	2	12112	111		
0.0333	2	12212	-211		
31114					
4					
0.15	2	2112	-211		
0.3	2	2114	-211		
0.45	2	1114	111		
0.1	2	12112	-211		
1212					
7					
0.2	2	2112	111		
0.1	2	2212	-211		
0.32	2	2214	-211		
0.04	2	2114	111		
0.24	2	1114	211		
0.0667	2	12112	111		
